run_id,random_seed,vehicle_id,collided,severity,collision_time,min_speed_mph,final_speed_mph
34,34,solo,False,,,3.48,17.3
34,34,spawned_1,False,,,20.0,20.0
34,34,spawned_2,False,,,11.28,13.51
34,34,spawned_3,False,,,20.0,20.0
34,34,spawned_4,False,,,20.0,20.0
34,34,spawned_5,False,,,20.0,20.0
34,34,spawned_6,False,,,20.0,20.0
34,34,spawned_7,False,,,20.0,20.0
35,35,solo,False,,,0.0,20.04
35,35,spawned_1,False,,,20.0,20.0
35,35,spawned_2,False,,,20.0,20.0
35,35,spawned_3,False,,,20.0,20.0
35,35,spawned_4,False,,,20.0,20.0
35,35,spawned_5,False,,,20.0,20.0
35,35,spawned_6,False,,,20.0,20.0
35,35,spawned_7,False,,,20.0,20.0
36,36,solo,False,,,7.04,30.0
36,36,spawned_1,False,,,20.0,20.0
36,36,spawned_2,False,,,20.0,20.0
36,36,spawned_3,False,,,20.0,20.0
36,36,spawned_4,False,,,20.0,20.0
36,36,spawned_5,False,,,20.0,20.0
36,36,spawned_6,False,,,20.0,20.0
36,36,spawned_7,False,,,20.0,20.0
37,37,solo,False,,,7.04,30.0
37,37,spawned_1,False,,,20.0,20.0
37,37,spawned_2,False,,,20.0,20.0
37,37,spawned_3,False,,,20.0,20.0
37,37,spawned_4,False,,,20.0,20.0
37,37,spawned_5,False,,,20.0,20.0
37,37,spawned_6,False,,,20.0,20.0
37,37,spawned_7,False,,,20.0,20.0
38,38,solo,False,,,3.48,17.3
38,38,spawned_1,False,,,20.0,20.0
38,38,spawned_2,False,,,11.28,13.51
38,38,spawned_3,False,,,20.0,20.0
38,38,spawned_4,False,,,19.94,20.0
38,38,spawned_5,False,,,20.0,20.0
38,38,spawned_6,False,,,20.0,20.0
38,38,spawned_7,False,,,20.0,20.0
39,39,solo,False,,,0.0,30.0
39,39,spawned_1,False,,,6.91,10.05
39,39,spawned_2,False,,,20.0,20.0
39,39,spawned_3,False,,,20.0,20.0
39,39,spawned_4,False,,,20.0,20.0
39,39,spawned_5,False,,,20.0,20.0
39,39,spawned_6,False,,,20.0,20.0
39,39,spawned_7,False,,,20.0,20.0
40,40,solo,False,,,0.0,30.0
40,40,spawned_1,False,,,6.91,10.05
40,40,spawned_2,False,,,20.0,20.0
40,40,spawned_3,False,,,20.0,20.0
